
Ghost Atom Coordinates:
1  cBq: Bq -5.0 -5.0 -5.0
307  cBq:  Bq -3.0 0.0 4.0
308  cBq:  Bq -3.0 0.0 5.0
309  cBq:  Bq -3.0 1.0 -5.0
310  cBq:  Bq -3.0 1.0 -4.0
311  cBq:  Bq -3.0 1.0 -3.0
312  cBq:  Bq -3.0 1.0 -2.0
313  cBq:  Bq -3.0 1.0 -1.0
314  cBq:  Bq -3.0 1.0 0.0
315  cBq:  Bq -3.0 1.0 1.0
316  cBq:  Bq -3.0 1.0 2.0
317  cBq:  Bq -3.0 1.0 3.0
318  cBq:  Bq -3.0 1.0 4.0
319  cBq:  Bq -3.0 1.0 5.0
320  cBq:  Bq -3.0 2.0 -5.0
321  cBq:  Bq -3.0 2.0 -4.0
322  cBq:  Bq -3.0 2.0 -3.0
323  cBq:  Bq -3.0 2.0 -2.0
324  cBq:  Bq -3.0 2.0 -1.0
325  cBq:  Bq -3.0 2.0 0.0
326  cBq:  Bq -3.0 2.0 1.0
327  cBq:  Bq -3.0 2.0 2.0
328  cBq:  Bq -3.0 2.0 3.0
329  cBq:  Bq -3.0 2.0 4.0
330  cBq:  Bq -3.0 2.0 5.0
331  cBq:  Bq -3.0 3.0 -5.0
332  cBq:  Bq -3.0 3.0 -4.0
333  cBq:  Bq -3.0 3.0 -3.0
334  cBq:  Bq -3.0 3.0 -2.0
335  cBq:  Bq -3.0 3.0 -1.0
336  cBq:  Bq -3.0 3.0 0.0
337  cBq:  Bq -3.0 3.0 1.0
338  cBq:  Bq -3.0 3.0 2.0
339  cBq:  Bq -3.0 3.0 3.0
340  cBq:  Bq -3.0 3.0 4.0
341  cBq:  Bq -3.0 3.0 5.0
342  cBq:  Bq -3.0 4.0 -5.0
343  cBq:  Bq -3.0 4.0 -4.0
344  cBq:  Bq -3.0 4.0 -3.0
345  cBq:  Bq -3.0 4.0 -2.0
346  cBq:  Bq -3.0 4.0 -1.0
347  cBq:  Bq -3.0 4.0 0.0
348  cBq:  Bq -3.0 4.0 1.0
349  cBq:  Bq -3.0 4.0 2.0
350  cBq:  Bq -3.0 4.0 3.0
351  cBq:  Bq -3.0 4.0 4.0
352  cBq:  Bq -3.0 4.0 5.0
353  cBq:  Bq -3.0 5.0 -5.0
354  cBq:  Bq -3.0 5.0 -4.0
355  cBq:  Bq -3.0 5.0 -3.0
356  cBq:  Bq -3.0 5.0 -2.0
357  cBq:  Bq -3.0 5.0 -1.0
358  cBq:  Bq -3.0 5.0 0.0
359  cBq:  Bq -3.0 5.0 1.0
360  cBq:  Bq -3.0 5.0 2.0
361  cBq:  Bq -3.0 5.0 3.0
362  cBq:  Bq -3.0 5.0 4.0
363  cBq:  Bq -3.0 5.0 5.0
364  cBq:  Bq -2.0 -5.0 -5.0
365  cBq:  Bq -2.0 -5.0 -4.0
366  cBq:  Bq -2.0 -5.0 -3.0
367  cBq:  Bq -2.0 -5.0 -2.0
368  cBq:  Bq -2.0 -5.0 -1.0
369  cBq:  Bq -2.0 -5.0 0.0
370  cBq:  Bq -2.0 -5.0 1.0
371  cBq:  Bq -2.0 -5.0 2.0
372  cBq:  Bq -2.0 -5.0 3.0
373  cBq:  Bq -2.0 -5.0 4.0
374  cBq:  Bq -2.0 -5.0 5.0
375  cBq:  Bq -2.0 -4.0 -5.0
376  cBq:  Bq -2.0 -4.0 -4.0
377  cBq:  Bq -2.0 -4.0 -3.0
378  cBq:  Bq -2.0 -4.0 -2.0
379  cBq:  Bq -2.0 -4.0 -1.0
380  cBq:  Bq -2.0 -4.0 0.0
381  cBq:  Bq -2.0 -4.0 1.0
382  cBq:  Bq -2.0 -4.0 2.0
383  cBq:  Bq -2.0 -4.0 3.0
384  cBq:  Bq -2.0 -4.0 4.0
385  cBq:  Bq -2.0 -4.0 5.0
386  cBq:  Bq -2.0 -3.0 -5.0
387  cBq:  Bq -2.0 -3.0 -4.0
388  cBq:  Bq -2.0 -3.0 -3.0
389  cBq:  Bq -2.0 -3.0 -2.0
390  cBq:  Bq -2.0 -3.0 -1.0
391  cBq:  Bq -2.0 -3.0 0.0
392  cBq:  Bq -2.0 -3.0 1.0
393  cBq:  Bq -2.0 -3.0 2.0
394  cBq:  Bq -2.0 -3.0 3.0
395  cBq:  Bq -2.0 -3.0 4.0
396  cBq:  Bq -2.0 -3.0 5.0
397  cBq:  Bq -2.0 -2.0 -5.0
398  cBq:  Bq -2.0 -2.0 -4.0
399  cBq:  Bq -2.0 -2.0 -3.0
400  cBq:  Bq -2.0 -2.0 -2.0
401  cBq:  Bq -2.0 -2.0 -1.0
402  cBq:  Bq -2.0 -2.0 0.0
403  cBq:  Bq -2.0 -2.0 1.0
404  cBq:  Bq -2.0 -2.0 2.0
405  cBq:  Bq -2.0 -2.0 3.0
406  cBq:  Bq -2.0 -2.0 4.0
407  cBq:  Bq -2.0 -2.0 5.0
408  cBq:  Bq -2.0 -1.0 -5.0
409  cBq:  Bq -2.0 -1.0 -4.0
410  cBq:  Bq -2.0 -1.0 -3.0
411  cBq:  Bq -2.0 -1.0 -2.0
412  cBq:  Bq -2.0 -1.0 -1.0
413  cBq:  Bq -2.0 -1.0 0.0
414  cBq:  Bq -2.0 -1.0 1.0
415  cBq:  Bq -2.0 -1.0 2.0
416  cBq:  Bq -2.0 -1.0 3.0
417  cBq:  Bq -2.0 -1.0 4.0
418  cBq:  Bq -2.0 -1.0 5.0
419  cBq:  Bq -2.0 0.0 -5.0
420  cBq:  Bq -2.0 0.0 -4.0
421  cBq:  Bq -2.0 0.0 -3.0
422  cBq:  Bq -2.0 0.0 -2.0
423  cBq:  Bq -2.0 0.0 -1.0
424  cBq:  Bq -2.0 0.0 0.0
425  cBq:  Bq -2.0 0.0 1.0
426  cBq:  Bq -2.0 0.0 2.0
427  cBq:  Bq -2.0 0.0 3.0
428  cBq:  Bq -2.0 0.0 4.0
429  cBq:  Bq -2.0 0.0 5.0
430  cBq:  Bq -2.0 1.0 -5.0
431  cBq:  Bq -2.0 1.0 -4.0
432  cBq:  Bq -2.0 1.0 -3.0
433  cBq:  Bq -2.0 1.0 -2.0
434  cBq:  Bq -2.0 1.0 -1.0
435  cBq:  Bq -2.0 1.0 0.0
436  cBq:  Bq -2.0 1.0 1.0
437  cBq:  Bq -2.0 1.0 2.0
438  cBq:  Bq -2.0 1.0 3.0
439  cBq:  Bq -2.0 1.0 4.0
440  cBq:  Bq -2.0 1.0 5.0
441  cBq:  Bq -2.0 2.0 -5.0
442  cBq:  Bq -2.0 2.0 -4.0
443  cBq:  Bq -2.0 2.0 -3.0
444  cBq:  Bq -2.0 2.0 -2.0
445  cBq:  Bq -2.0 2.0 -1.0
446  cBq:  Bq -2.0 2.0 0.0
447  cBq:  Bq -2.0 2.0 1.0
448  cBq:  Bq -2.0 2.0 2.0
449  cBq:  Bq -2.0 2.0 3.0
450  cBq:  Bq -2.0 2.0 4.0
451  cBq:  Bq -2.0 2.0 5.0
452  cBq:  Bq -2.0 3.0 -5.0
453  cBq:  Bq -2.0 3.0 -4.0
454  cBq:  Bq -2.0 3.0 -3.0
455  cBq:  Bq -2.0 3.0 -2.0
456  cBq:  Bq -2.0 3.0 -1.0
457  cBq:  Bq -2.0 3.0 0.0
458  cBq:  Bq -2.0 3.0 1.0
459  cBq:  Bq -2.0 3.0 2.0
460  cBq:  Bq -2.0 3.0 3.0
461  cBq:  Bq -2.0 3.0 4.0
462  cBq:  Bq -2.0 3.0 5.0
463  cBq:  Bq -2.0 4.0 -5.0
464  cBq:  Bq -2.0 4.0 -4.0
465  cBq:  Bq -2.0 4.0 -3.0
466  cBq:  Bq -2.0 4.0 -2.0
467  cBq:  Bq -2.0 4.0 -1.0
468  cBq:  Bq -2.0 4.0 0.0
469  cBq:  Bq -2.0 4.0 1.0
470  cBq:  Bq -2.0 4.0 2.0
471  cBq:  Bq -2.0 4.0 3.0
472  cBq:  Bq -2.0 4.0 4.0
473  cBq:  Bq -2.0 4.0 5.0
474  cBq:  Bq -2.0 5.0 -5.0
475  cBq:  Bq -2.0 5.0 -4.0
476  cBq:  Bq -2.0 5.0 -3.0
477  cBq:  Bq -2.0 5.0 -2.0
478  cBq:  Bq -2.0 5.0 -1.0
479  cBq:  Bq -2.0 5.0 0.0
480  cBq:  Bq -2.0 5.0 1.0
481  cBq:  Bq -2.0 5.0 2.0
482  cBq:  Bq -2.0 5.0 3.0
483  cBq:  Bq -2.0 5.0 4.0
484  cBq:  Bq -2.0 5.0 5.0
485  cBq:  Bq -1.0 -5.0 -5.0
486  cBq:  Bq -1.0 -5.0 -4.0
487  cBq:  Bq -1.0 -5.0 -3.0
488  cBq:  Bq -1.0 -5.0 -2.0
489  cBq:  Bq -1.0 -5.0 -1.0
490  cBq:  Bq -1.0 -5.0 0.0
491  cBq:  Bq -1.0 -5.0 1.0
492  cBq:  Bq -1.0 -5.0 2.0
493  cBq:  Bq -1.0 -5.0 3.0
494  cBq:  Bq -1.0 -5.0 4.0
495  cBq:  Bq -1.0 -5.0 5.0
496  cBq:  Bq -1.0 -4.0 -5.0
497  cBq:  Bq -1.0 -4.0 -4.0
498  cBq:  Bq -1.0 -4.0 -3.0
499  cBq:  Bq -1.0 -4.0 -2.0
500  cBq:  Bq -1.0 -4.0 -1.0
501  cBq:  Bq -1.0 -4.0 0.0
502  cBq:  Bq -1.0 -4.0 1.0
503  cBq:  Bq -1.0 -4.0 2.0
504  cBq:  Bq -1.0 -4.0 3.0
505  cBq:  Bq -1.0 -4.0 4.0
506  cBq:  Bq -1.0 -4.0 5.0
507  cBq:  Bq -1.0 -3.0 -5.0
508  cBq:  Bq -1.0 -3.0 -4.0
509  cBq:  Bq -1.0 -3.0 -3.0
510  cBq:  Bq -1.0 -3.0 -2.0
511  cBq:  Bq -1.0 -3.0 -1.0
512  cBq:  Bq -1.0 -3.0 0.0
513  cBq:  Bq -1.0 -3.0 1.0
514  cBq:  Bq -1.0 -3.0 2.0
515  cBq:  Bq -1.0 -3.0 3.0
516  cBq:  Bq -1.0 -3.0 4.0
517  cBq:  Bq -1.0 -3.0 5.0
518  cBq:  Bq -1.0 -2.0 -5.0
519  cBq:  Bq -1.0 -2.0 -4.0
520  cBq:  Bq -1.0 -2.0 -3.0
521  cBq:  Bq -1.0 -2.0 -2.0
522  cBq:  Bq -1.0 -2.0 -1.0
523  cBq:  Bq -1.0 -2.0 0.0
524  cBq:  Bq -1.0 -2.0 1.0
525  cBq:  Bq -1.0 -2.0 2.0
526  cBq:  Bq -1.0 -2.0 3.0
527  cBq:  Bq -1.0 -2.0 4.0
528  cBq:  Bq -1.0 -2.0 5.0
529  cBq:  Bq -1.0 -1.0 -5.0
530  cBq:  Bq -1.0 -1.0 -4.0
531  cBq:  Bq -1.0 -1.0 -3.0
532  cBq:  Bq -1.0 -1.0 -2.0
533  cBq:  Bq -1.0 -1.0 -1.0
534  cBq:  Bq -1.0 -1.0 0.0
535  cBq:  Bq -1.0 -1.0 1.0
536  cBq:  Bq -1.0 -1.0 2.0
537  cBq:  Bq -1.0 -1.0 3.0
538  cBq:  Bq -1.0 -1.0 4.0
539  cBq:  Bq -1.0 -1.0 5.0
540  cBq:  Bq -1.0 0.0 -5.0
541  cBq:  Bq -1.0 0.0 -4.0
542  cBq:  Bq -1.0 0.0 -3.0
543  cBq:  Bq -1.0 0.0 -2.0
544  cBq:  Bq -1.0 0.0 -1.0
545  cBq:  Bq -1.0 0.0 0.0
546  cBq:  Bq -1.0 0.0 1.0
547  cBq:  Bq -1.0 0.0 2.0
548  cBq:  Bq -1.0 0.0 3.0
549  cBq:  Bq -1.0 0.0 4.0
550  cBq:  Bq -1.0 0.0 5.0
551  cBq:  Bq -1.0 1.0 -5.0
552  cBq:  Bq -1.0 1.0 -4.0
553  cBq:  Bq -1.0 1.0 -3.0
554  cBq:  Bq -1.0 1.0 -2.0
555  cBq:  Bq -1.0 1.0 -1.0
556  cBq:  Bq -1.0 1.0 0.0
557  cBq:  Bq -1.0 1.0 1.0
558  cBq:  Bq -1.0 1.0 2.0
559  cBq:  Bq -1.0 1.0 3.0
560  cBq:  Bq -1.0 1.0 4.0
561  cBq:  Bq -1.0 1.0 5.0
562  cBq:  Bq -1.0 2.0 -5.0
563  cBq:  Bq -1.0 2.0 -4.0
564  cBq:  Bq -1.0 2.0 -3.0
565  cBq:  Bq -1.0 2.0 -2.0
566  cBq:  Bq -1.0 2.0 -1.0
567  cBq:  Bq -1.0 2.0 0.0
568  cBq:  Bq -1.0 2.0 1.0
569  cBq:  Bq -1.0 2.0 2.0
570  cBq:  Bq -1.0 2.0 3.0
571  cBq:  Bq -1.0 2.0 4.0
572  cBq:  Bq -1.0 2.0 5.0
573  cBq:  Bq -1.0 3.0 -5.0
574  cBq:  Bq -1.0 3.0 -4.0
575  cBq:  Bq -1.0 3.0 -3.0
576  cBq:  Bq -1.0 3.0 -2.0
577  cBq:  Bq -1.0 3.0 -1.0
578  cBq:  Bq -1.0 3.0 0.0
579  cBq:  Bq -1.0 3.0 1.0
580  cBq:  Bq -1.0 3.0 2.0
581  cBq:  Bq -1.0 3.0 3.0
